customer_name,total_ordenes,gasto_total,ganancia_total,unidades_compradas
Dan Reichenbach,84,16705.0,1984.3986000000002,309
Dana Kaydos,70,12782.862,1363.56276,242
Daniel Byrd,65,11271.125,1656.9395000000002,209
Daniel Lacy,72,5992.215,1108.44,219
Daniel Raglin,85,10229.72,6103.97292,289
Dario Medina,76,14293.012,2306.92722,266
Darren Budd,31,4500.186,586.9649,98
Darren Koutras,64,9825.083,1287.9167,226
Darren Powers,82,12943.04,-517.4512,275
Darrin Martin,66,13183.554,1991.7519,268
Darrin Sayre,68,9707.579,1487.6673999999998,252
Darrin Van Huff,94,12271.488,616.32492,298
Dave Brooks,70,10023.542,3652.3608600000002,255
Dave Hallsten,83,13010.184,1681.8685,270
Dave Kipp,64,10491.973,4080.5637,214
Dave Poirier,62,10110.806,4600.1323,247
David Bremer,34,4727.549,-2270.6965800000003,116
David Flashing,52,8510.033,363.0722000000001,169
David Kendrick,58,8435.133,2179.1376999999998,206
David Philippe,68,13087.653,834.5305200000001,260
David Smith,63,9339.298999999999,1713.4145,219
David Wiener,56,8745.187,1739.0983,187
Dean Braden,73,11103.032,1425.8078,250
Dean Katz,56,9357.296,1007.098,202
Dean percer,81,11449.395,3959.16412,260
Deanra Eno,55,8482.321,1735.4974,179
Deborah Brumfield,58,9381.2,1640.2389,193
Debra Catini,54,10171.807,865.3341,213
Deirdre Greer,64,11120.6,2374.3181,240
Delfina Latchford,76,10877.384,2798.5357,304
Denise Leinenbach,75,11593.349,2747.4922,281
Denise Monton,59,9027.037,-2597.8029,240
Dennis Bolton,52,8478.134,1922.71686,196
Dennis Kane,76,12201.909,2965.5079,287
Dennis Pardue,57,7129.536,2688.1890000000003,170
Denny Blanton,51,8573.069,1958.55586,199
Denny Joy,63,7448.128,3255.39614,232
Denny Ordway,83,8342.465,4137.6354,252
Dianna Arnett,60,9878.375,-297.8313399999999,241
Dianna Vittorini,63,9448.51,3342.72258,218
Dianna Wilson,88,13909.556,5029.0892,312
Dionis Lloyd,56,10291.363,1560.868,206
Don Jones,78,11804.6,4310.462,276
Don Miller,52,8962.876,-273.4155199999999,196
Don Weiss,62,10353.035,425.7092,212
Dorothy Badders,49,10384.0,1242.2766,177
Dorothy Dickinson,66,9969.103,1399.6512,234
Dorothy Wardle,74,11335.272,870.557,289
Dorris liebe,58,8910.815,1851.7062,162
Doug Bickford,58,8253.606,2967.6800000000003,209
Doug Jacobs,54,9120.736,2675.7544000000003,198
Doug O'Connell,68,11666.108,1816.73452,222
Duane Benoit,42,6188.423,1417.79834,147
Duane Huffman,54,6642.84,2151.1435,177
Duane Noonan,60,12946.97,233.54249999999996,187
Ed Braxton,65,11746.782,1488.6075999999998,230
Ed Jacobs,45,7602.1,1209.9476,143
Ed Ludwig,71,11576.635,1155.5394000000001,260
Edward Becker,49,6204.227,1487.154,188
Edward Hooks,84,12704.576000000001,671.1933999999999,307
Edward Nazzal,46,5723.35,237.69949999999997,147
Eileen Kiefer,36,4643.483,765.4778000000001,127
Eleni McCrary,54,6170.4220000000005,1897.36954,166
Elizabeth Moffitt,64,10401.111,1988.0723600000001,194
Ellis Ballard,57,10384.613,5848.74774,174
Elpida Rittenbach,53,10620.517,2585.7182000000003,187
Emily Burns,35,4407.632,20.558200000000028,108
Emily Ducich,76,8360.199,2572.4465,259
Emily Grady,63,11308.817000000001,2604.2372800000003,226
Emily Phan,72,12548.226,2103.96474,254
Eric Barreto,48,6361.611,2091.7421,150
Eric Hoffmann,71,9162.19,2250.05482,229
Eric Murdock,100,19497.596,3306.01548,392
Erica Bern,77,10193.931,3030.7344,250
Erica Hackney,51,9481.0,1556.9195,171
Erica Hernandez,57,9434.577,794.6513,199
Erica Smith,67,9890.833,3127.37644,220
Erin Ashbrook,72,9333.19,868.06012,246
Erin Creighton,58,4939.793,831.7727,177
Erin Mull,62,8140.188,3939.46018,216
Erin Smith,74,11462.704,2175.2919,232
Eudokia Martin,61,12170.554,1764.7839,191
Eugene Barchas,64,9178.913,2893.6639,196
Eugene Hildebrand,86,13518.914,1660.3308200000001,287
Eugene Moren,94,15670.748,3624.25176,346
Eva Jacobs,49,10112.849,2794.5691,174
Evan Bailliet,47,8006.0,565.6232,176
Evan Henry,61,10289.094000000001,2281.5105200000003,193
Evan Minnotte,66,11429.251,3647.45576,232
Filia McAdams,69,9209.086,1394.0246,237
Frank Atkinson,62,11177.176,1496.1937,229
Frank Carlisle,51,7395.02,2780.7909999999997,177
Frank Gastineau,44,7318.388,1034.1122,156
Frank Hawley,48,9982.707,3547.5756,160
Frank Merwin,77,8908.487,2601.29072,272
Frank Olsen,85,13161.618,3023.7504,296
Frank Preis,55,6798.965,937.1935000000001,211
Fred Chung,51,5133.194,1496.69624,156
Fred Harton,42,7276.493,2888.03482,138
Fred Hopkins,82,12007.415,4609.29112,290
Fred McMath,46,5915.527,1015.5115,142
Fred Wasserman,72,13404.794,1683.7903999999999,234
Gary Hansen,76,10146.128,613.8054799999999,270
Gary Hwang,102,15183.455,3908.1151000000004,377
Gary McGarr,58,8162.3640000000005,1665.0138799999997,189
Gary Mitchum,43,8943.07,2872.1064,148
Gary Zandusky,78,14712.997,3742.4389,255
Gene Hale,50,7849.646000000001,2295.9524,208
Gene McClure,47,5897.111,1553.25212,175
George Ashbrook,58,9994.815,792.3443199999999,216
George Bell,56,4985.205,656.2901,185
George Zrebassa,52,8797.503,4105.5978000000005,200
Georgia Rosenberg,62,9029.825,496.27974,212
Giulietta Baptist,66,10881.69,1633.26568,234
Giulietta Dortch,56,11675.037,1888.1499,218
Giulietta Weimer,57,9869.21,1199.0592,215
Grace Kelly,65,8852.141,3495.2934,236
Grant Thornton,48,7437.801,-3577.92306,182
Greg Guthrie,75,10706.198,1523.52326,279
Greg Hansen,65,12702.296,1584.66962,240
Greg Matthias,74,10188.415,-1337.92006,235
Greg Maxwell,64,5042.323,-11.358500000000213,203
Greg Tran,87,11574.002,5214.13118,310
Guy Armstrong,64,7681.606,771.9774,208
Guy Phonely,74,7197.214,1250.1096,256
Guy Thornton,62,7945.117,784.1793200000001,195
Hallie Redmond,61,7968.719,1705.2724,206
Harold Dahlen,81,10959.12,2631.1922,249
Harold Engle,71,9394.6,1710.43802,240
Harold Pawlan,45,5973.546,880.2212,157
Harold Ryan,44,7636.4,1456.03576,130
Harry Greene,101,13331.896,-291.4922799999999,343
Harry Marie,85,13904.587,6958.2864,313
Heather Jas,68,8913.528,2618.261,227
Heather Kirkland,60,13143.4,2494.9302000000002,204
Helen Abelman,62,14507.425,-761.6941599999999,234
Helen Andreada,63,7072.345,1561.1586,209
Helen Wasserman,66,11540.838,2555.1131,235
Henia Zydlo,57,8559.931,741.4829,174
Henry Goldwyn,71,8968.208,-1597.5109,271
Henry MacAllister,64,10581.553,2673.3391,222
Herbert Flentye,77,11813.0,-653.1279,241
Hilary Holden,57,12636.595,2432.32402,242
Hunter Glantz,67,10192.028,1532.9159,244
Hunter Lopez,53,6052.218,7816.567779999999,207
Ionia McGrath,39,5023.461,2447.97986,129
Irene Maddox,82,13496.429,-680.30418,318
Ivan Gibson,77,11837.318,1911.16818,234
Ivan Liston,64,7093.765,1181.07276,221
Jack Garza,62,10196.517,-922.2610199999999,206
Jack Lebron,83,11438.242,1040.1775400000001,281
Jack O'Briant,51,9358.993,3045.2555,178
James Galang,83,11140.423999999999,4549.1004,272
James Lanier,53,5518.338,1701.17116,174
Jamie Frazer,74,11324.261,1722.6054,275
Jamie Kunitz,50,7862.675,2763.7822,207
Jane Waco,75,14674.629,6265.8457,298
Janet Lee,69,12926.56,4730.68904,253
Janet Martin,67,11430.593,1664.65432,244
Janet Molinari,77,12327.844,2780.094,302
Jas O'Carroll,44,7781.039,1905.7893000000001,164
Jason Fortune-,73,12219.608,2692.5273,296
Jason Gross,55,9292.282,2254.6355,224
Jason Klamczynski,62,8020.189,2022.38702,236
Jasper Cacioppo,73,10920.53,337.791,264
Jay Fein,64,8675.145,-1874.6750000000002,215
Jay Kimmel,67,13401.0,1550.04784,247
Jenna Caffey,75,10487.679,1304.56232,242
Jennifer Braxton,73,9065.199,2451.8621,235
Jennifer Ferguson,66,7321.641,2666.84548,235
Jennifer Halladay,78,9666.029,1590.6942000000001,249
Jennifer Jackson,41,6566.63,1022.6992,152
Jennifer Patt,78,11193.022,2079.42932,277
Jeremy Ellison,43,5075.744,1318.1717,141
Jeremy Farry,57,8062.662,1200.10256,178
Jeremy Lonsdale,48,6079.2880000000005,1186.2773,169
Jeremy Pistek,74,15315.347,3170.16016,266
Jessica Myrick,51,7789.0,1358.9265,168
Jesus Ocampo,53,6691.519,582.7569,175
Jill Fjeld,78,14051.579,4877.68546,274
Jill Matthias,58,8671.515,1716.7324,198
Jill Stevenson,49,6094.052,-161.19349999999997,156
Jim Epp,64,8796.161,1371.9133000000002,199
Jim Karlsson,69,13087.038,3976.3415999999997,250
Jim Kriz,43,6058.02,2754.2758,157
Jim Mitchum,84,13757.148,1798.53406,275
Jim Radford,48,8511.421,-760.4169000000002,143
Jim Sink,69,11312.973,2350.4863,255
Jocasta Rupert,36,7154.092,932.5277600000001,129
Joe Elijah,82,11122.341,3620.8885,319
Joe Kamberova,91,14315.386,4373.5003,330
Joel Eaton,87,12833.081,1528.78066,276
Joel Jenkins,83,11939.062,1848.98628,264
John Castell,53,8645.656,1858.38624,178
John Dryer,48,8028.566,-1198.71274,173
John Grady,95,19485.736,3280.7801,370
John Huston,83,12128.832,5395.8237,289
John Lee,72,10379.615,2393.002,295
John Lucas,50,9384.12,354.24659999999994,169
John Murray,79,12546.849,2318.1149,292
John Stevenson,42,8122.071,491.3969000000001,169
Jonathan Doherty,86,12961.526,1726.7910200000001,325
Jonathan Howell,81,10777.772,705.0602,270
Joni Blumstein,59,8722.621,1130.50616,205
Joni Sundaresam,53,6809.0,11.973400000000069,145
Joni Wasserman,60,7950.002,657.1068,226
Joseph Airdo,76,8747.431,842.3299999999999,254
Joseph Holt,85,13102.844,386.67820000000006,317
Joy Bell-,84,15284.735,2867.92322,325
Joy Daniels,67,7023.327,-604.4102,221
Joy Smith,70,10263.54,-103.00052000000001,258
Julia Barnett,57,8633.462,249.04518000000016,199
Julia Dunbar,48,8598.632,564.90306,142
Julia West,61,10179.429,2950.0157,224
Juliana Krohn,83,12654.492,1798.2473400000001,287
Julie Creighton,63,10753.247,-1889.1059200000002,228
Julie Kriz,65,11081.571,1894.19924,216
Julie Prescott,76,11310.287,3479.0402,241
Justin Deggeller,71,13412.216,2625.31888,248
Justin Ellison,53,7492.423,2928.30396,178
Justin Hirsh,81,14813.114,3994.6644,283
Justin MacKendrick,53,7964.064,1519.795,170
Justin Ritter,57,9919.709,2884.286,184
Kalyca Meade,43,6602.043,369.5323,172
Karen Bern,55,7620.23,2319.0706,174
Karen Carlisle,63,9097.32,1979.5,198
Karen Daniels,64,12553.476,2890.6947000000005,246
Karen Ferguson,62,9470.805,2385.1931,209
Karen Seio,43,4005.321,1113.68218,147
Karl Braun,93,12911.587,1785.86258,291
Katharine Harms,74,14915.502,3611.0256,221
Katherine Ducich,39,9212.486,2428.8306000000002,141
Katherine Hughes,75,9967.245,1842.3875,225
Katherine Murray,81,12765.762,1451.08384,254
Katherine Nockton,59,7126.555,4145.19254,209
Katrina Bavinger,68,9224.807,618.2365,247
Katrina Edelman,67,9118.439,1286.54742,257
Katrina Willman,58,8461.293,3107.0106,193
Kean Nguyen,66,12776.293,2257.2164,240
Kean Takahito,82,12368.893,987.5934,312
Kean Thornton,45,6563.8,-617.9192,123
Keith Dawkins,78,13079.385,5486.1725,253
Keith Herrera,79,8857.041,2196.8332,281
Kelly Andreada,86,12732.15,1401.39752,301
Kelly Collister,55,9068.343,2358.10316,196
Kelly Lampkin,86,10694.557,738.7484,279
Kelly Williams,71,7641.196,2371.1463,234
Ken Black,66,7677.933,1351.0226,266
Ken Brennan,56,8194.274,1046.2450999999999,178
Ken Dana,56,7939.618,1750.72552,224
Ken Heidel,57,6591.432,1505.97316,204
Ken Lonsdale,82,12920.218,154.90049999999988,269
Khloe Miller,61,7468.508,847.8977,216
Kimberly Carter,53,9509.418,2144.96274,212
Kristen Hastings,88,13948.913,2370.5742,309
Kristina Nunn,46,6212.507,1698.5085000000001,148
Kunst Miller,69,12051.921,2759.1905,251
Larry Blacks,63,11097.489,1664.49192,221
Larry Hughes,50,4832.864,641.2019000000001,179
Larry Tron,56,11369.257,4213.65294,189
Laura Armstrong,86,14844.033,3962.3098,323
Laurel Beltran,88,13564.835,4303.23822,316
Laurel Elliston,61,11477.0,2025.0286,199
Laurel Workman,63,7390.486,1148.80494,181
Lauren Leatherbury,66,12142.798999999999,894.9398600000001,220
Lela Donovan,71,11462.723,1486.73868,260
Lena Cacioppo,66,8063.018,1176.76826,241
Lena Creighton,69,13128.766,1172.5113000000003,248
Lena Hernandez,55,9840.104,997.38998,229
Lena Radford,65,9162.754,3371.71596,224
Linda Cazamias,67,10332.412,2273.42396,211
Linda Southworth,63,11562.584,-67.85193999999993,201
Lindsay Castell,50,7841.466,1420.7137,179
Lindsay Shagiari,59,8318.049,1778.0724,192
Lindsay Williams,58,7262.723,1486.9264,179
Lisa DeCherney,58,10429.396,1165.43804,181
Lisa Hazard,43,6476.6900000000005,1338.0789000000002,182
Lisa Ryan,78,13402.402,2449.1383,243
Liz Carlisle,58,7633.505999999999,2847.60982,214
Liz MacKendrick,50,7606.932,1868.1509999999998,205
Liz Pelletier,54,7216.251,-265.57719999999995,197
Liz Preis,71,13154.46,2122.698,239
Liz Thompson,74,12682.543,3146.42816,288
Liz Willingham,41,8045.0,1400.0412000000001,126
Logan Currie,71,14011.073,1925.2869600000001,257
Logan Haushalter,72,10079.216,1519.531,233
Lori Olson,69,10861.682,1788.7198,232
Luke Foster,61,8313.114,-3644.3475,246
Luke Schmidt,58,11389.214,1653.96822,208
Luke Weiss,53,7030.026,849.3825400000001,193
Lycoris Saunders,79,11739.0,1377.4046799999999,223
Lynn Smith,54,9437.278,1498.1314,201
Magdelene Morse,66,9412.825,4380.72512,225
Marc Crier,69,11965.027,2113.4819,212
Marc Harrigan,64,13954.448,2316.01286,255
Maria Bertelson,60,7577.044,4622.34732,208
Maria Etezadi,84,18245.015,3418.5585,296
Maria Zettner,53,9767.201000000001,2254.5034,179
Maribeth Dona,70,11255.58,1230.6333200000001,252
Maribeth Schnelling,79,11395.296,3529.3421999999996,280
Maribeth Yedwab,56,9958.52,3559.5073,207
Marina Lichtenstein,57,7526.037,1284.23268,205
Maris LaWare,60,11652.526,1154.1427999999999,193
Mark Cousins,74,9818.736,2851.25848,268
Mark Haberlin,73,7488.819,1552.0084,216
Mark Hamilton,64,12105.621,527.0470200000001,203
Mark Packer,52,8781.21,2172.9781,214
Mark Van Huff,57,10395.124,1810.6390999999999,181
Mary O'Rourke,57,8756.372,519.0089,187
Mary Zewe,77,12350.231,1883.04214,269
MaryBeth Skach,63,9760.035,1987.37916,187
Mathew Reese,76,16130.45,3711.2306,267
Matt Abelman,82,12447.0,519.90348,255
Matt Collins,75,13457.444,1749.34736,277
Matt Collister,55,6895.783,1907.18878,194
Matt Connell,58,10906.326000000001,1366.9685,198
Matt Hagelstein,60,10044.175,274.89098,174
Matthew Clasen,80,10739.077,3643.2892,288
Matthew Grinstein,51,10687.332,2205.32168,199
Maureen Fritzler,56,9338.195,1420.88584,199
Maureen Gastineau,83,10654.718,741.1927000000001,279
Maureen Gnade,74,10251.083,845.6976000000001,293
Maurice Satty,61,7484.549,1152.74306,194
Max Engle,72,9924.0,673.2612,224
Max Jones,60,12013.477,2437.6299,193
Max Ludwig,63,11780.757,1837.7616,216
Maxwell Schwartz,73,10309.626,2851.78544,259
Maya Herman,62,11094.5,1470.52944,220
Meg O'Connel,58,7973.04,3104.0855,230
Meg Tillman,59,10169.182,793.4146000000001,197
Melanie Seite,70,11891.217,2060.2845,231
Michael Chen,65,10069.875,1213.00542,185
Michael Dominguez,59,9178.262,3772.40044,250
Michael Grace,61,7876.662,-117.61077999999989,211
Michael Granlund,63,5739.453,-999.7799,226
Michael Kennedy,74,10643.807,-210.64000000000004,292
Michael Moore,78,9248.494,2058.909,271
Michael Nguyen,55,10712.339,1392.17082,212
Michael Oakman,29,2832.634,286.2586,79
Michael Paige,94,12241.56,1632.695,314
Michael Stewart,77,8508.37,1247.3462000000002,259
Michelle Arnett,59,6987.95,1102.67554,199
Michelle Ellison,49,9079.63,655.2183200000001,148
Michelle Huthwaite,50,10333.52,861.1837,191
Michelle Lonsdale,47,7890.479,1962.8392000000001,149
Michelle Moray,66,10126.965,1262.7827,210
Michelle Tran,68,9327.46,-1788.0442,253
Mick Brown,71,10084.373,2595.96358,226
Mick Crebagga,62,10663.352,336.1498,228
Mick Hernandez,67,9778.5,1488.1886,220
Mike Caudle,57,8336.02,796.6315,214
Mike Gockenbach,51,6885.509,6458.6762,185
Mike Kennedy,82,9689.055,758.5966,278
Mike Pelletier,82,15031.194,532.5997000000001,276
Mike Vittorini,62,9885.696,1360.0398,223
Mitch Gastineau,68,11038.978,1822.4352999999999,218
Mitch Webber,74,11805.276,4086.5403,273
Mitch Willingham,66,11380.635,145.51290000000014,217
Monica Federle,86,14170.780999999999,2573.3404,295
Muhammed Lee,71,10799.057,2314.36396,236
Muhammed MacIntyre,55,7814.908,2166.4666,187
Muhammed Yedwab,108,16104.553,2642.6540800000002,351
Nancy Lomonaco,43,5719.126,-566.9291000000001,162
Naresj Patel,65,9136.985,1804.326,211
Nat Carroll,76,11105.513,-460.87737999999996,246
Nat Gilpin,66,9875.142,2806.44286,186
Natalie DeCherney,63,10387.325,2620.28132,223
Natalie Fritzler,95,15029.765,1542.8211000000001,325
Natalie Webber,79,10951.434,3821.53806,258
Nathan Cano,49,5757.007,-724.9872,148
Nathan Gelder,65,11706.026,4211.22484,243
Nathan Mautz,75,15559.727,5789.1168,253
Neil Ducich,57,7265.522,3168.85352,195
Neil Französisch,62,8695.957,2920.0567,186
Neil Knudson,63,11036.841,3040.5326999999997,222
Neola Schneider,75,11567.238,-687.4442600000001,292
Neoma Murray,54,5900.979,3142.6994999999997,240
Nick Crebassa,50,7506.8,1335.378,149
Nick Radford,68,12891.0,1669.96578,212
Nick Zandusky,66,9901.380000000001,2091.27572,235
Nicole Brennan,31,3467.47,-691.4278,93
Nicole Fjeld,43,8158.114,1371.54862,163
Nicole Hansen,72,15283.027,4075.4649,276
Noah Childs,59,12423.927,2262.91458,212
Noel Staavos,92,14300.345,818.7196,318
