customer_name,recencia,frecuencia_compra,productos_distintos,unidades_totales,gasto_total,ticket_promedio
Annie Zypern,34,68,67,215,8410.464,123.68329411764705
Anthony Garverick,37,58,58,227,8557.133,147.53677586206896
Anthony Jacobs,282,79,78,232,9979.785,126.32639240506329
Anthony Johnson,103,77,76,259,10033.253,130.301987012987
Anthony O'Donnell,127,60,60,228,10814.215,180.23691666666667
Anthony Rawles,65,72,71,248,9784.562,135.89669444444445
Anthony Witt,5,78,78,244,9544.604,122.36671794871793
Arianne Irving,1,50,50,176,6373.91,127.4782
Art Ferguson,4,98,97,326,14173.024,144.622693877551
Art Foster,37,76,76,283,11602.47,152.6640789473684
Arthur Gainer,123,75,73,284,11045.834,147.27778666666669
Arthur Prichep,34,87,86,284,14367.183,165.14003448275864
Arthur Wiediger,126,49,49,175,4046.976,82.59134693877552
Ashley Jarboe,156,56,56,195,8670.286,154.8265357142857
Astrea Jones,10,60,60,206,10716.545,178.60908333333333
Barbara Fisher,92,62,62,193,6944.896,112.01445161290322
Barry Blumstein,32,62,62,211,8719.165,140.63169354838712
Barry Franz,32,69,68,228,13447.645,194.89340579710145
Barry Französisch,65,62,62,191,8152.059,131.48482258064516
Barry Gonzalez,187,67,66,250,11028.004,164.5970746268657
Barry Pond,92,57,57,176,10389.0,182.26315789473685
Barry Weirich,32,51,51,216,10024.423,196.55731372549022
Bart Folk,184,55,53,208,9711.235,176.5679090909091
Bart Pistole,124,70,69,243,10087.0,144.1
Bart Watters,41,96,95,338,15309.023,159.46898958333333
Becky Castell,7,87,86,300,13270.917,152.53927586206896
Becky Martin,35,78,78,293,12499.688,160.25241025641026
Becky Pak,2,58,58,221,8270.547,142.5956379310345
Ben Ferrer,1,86,86,316,16667.558,193.8088139534884
Ben Peterman,31,74,74,246,9109.707,123.10414864864865
Ben Wallace,37,68,68,219,14965.0,220.0735294117647
Benjamin Farhat,95,62,62,228,8886.488,143.3304516129032
Benjamin Patterson,94,67,66,207,10735.986,160.23859701492538
Benjamin Venier,98,61,61,200,9023.355,147.9238524590164
Berenike Kampe,103,64,64,221,8555.036,133.6724375
Beth Fritzler,6,58,58,196,9531.058,164.32858620689657
Beth Paige,62,55,55,186,7391.441,134.38983636363636
Beth Thompson,5,70,70,234,9113.52,130.19314285714287
Bill Donatelli,2,69,68,232,8715.567,126.3125652173913
Bill Eplett,190,102,102,411,14134.36,138.57215686274512
Bill Overfelt,34,47,47,158,5361.734,114.07944680851065
Bill Shonely,8,68,68,254,12019.503,176.75739705882353
Bill Stewart,126,66,65,266,12574.208,190.51830303030303
Bill Tyler,10,50,50,183,4902.902,98.05804
Bobby Elias,62,60,60,225,10753.665,179.22775000000001
Bobby Odegard,67,57,57,213,7659.377,134.3750350877193
Bobby Trafton,38,53,53,172,6430.973,121.33911320754717
Brad Eason,158,69,69,243,12320.672,178.56046376811594
Brad Norvell,63,70,69,243,13700.512,195.7216
Brad Thomas,96,65,65,233,8633.053,132.8162
Bradley Drucker,1,44,43,181,7907.24,179.71
Bradley Nguyen,31,65,65,244,8974.907,138.0754923076923
Bradley Talbott,224,55,55,188,8620.729,156.74052727272726
Brenda Bowman,2,63,63,238,6747.269,107.09950793650793
Brendan Dodson,126,36,36,148,6168.756,171.35433333333333
Brendan Murry,34,55,53,157,6519.541,118.5371090909091
Brendan Sweed,64,58,58,207,8460.722,145.8745172413793
Brian Dahlen,100,48,48,160,6909.983,143.95797916666666
Brian DeCherney,2,67,67,207,9660.113,144.1807910447761
Brian Derr,31,68,68,242,10179.744,149.70211764705883
Brian Moss,7,78,77,248,13102.361,167.97898717948718
Brian Stugart,37,71,71,278,10119.466,142.52769014084507
Brian Thompson,31,58,58,218,10654.246,183.69389655172412
Brooke Gillingham,134,49,49,153,6654.563,135.8074081632653
Brosina Hoffman,63,97,97,355,13835.298999999999,142.63194845360823
Bruce Degenhardt,8,76,76,256,14083.877,185.3141710526316
Bruce Geld,103,56,56,198,7619.769,136.06730357142857
Bruce Stewart,39,83,83,252,14175.064,170.78390361445784
Bryan Davis,37,64,64,228,8392.184,131.127875
Bryan Mills,2,84,83,278,13825.87,164.5936904761905
Bryan Spruell,36,69,68,214,9987.273,144.74308695652172
Candace McMahon,40,46,46,172,7210.595,156.7520652173913
Cari MacIntyre,39,77,75,266,13885.73,180.33415584415584
Cari Sayre,11,68,68,208,7653.428,112.55041176470588
Cari Schnelling,32,60,60,162,7883.3,131.38833333333335
Carl Jackson,34,56,55,168,8395.582,149.92110714285715
Carl Ludwig,37,60,59,215,6988.2029999999995,116.47004999999999
Carl Weiss,33,55,54,218,9100.262,165.4593090909091
Carlos Daly,125,70,69,240,9774.353,139.6336142857143
Carlos Meador,97,42,42,150,6897.254,164.22033333333334
Carlos Soltero,99,68,68,221,11733.206,172.54714705882353
Carol Adams,35,57,57,200,7649.36,134.19929824561402
Carol Darley,155,68,68,218,10378.856,152.63023529411765
Carol Triggs,221,52,52,173,8833.311,169.8713653846154
Caroline Jumper,11,58,58,222,9199.393,158.61022413793103
Cassandra Brandow,4,59,58,227,10059.473,170.49954237288136
Catherine Glotzbach,2,35,35,120,4116.0,117.6
Cathy Armstrong,461,56,56,207,10202.093,182.18023214285716
Cathy Hwang,5,70,70,225,10662.01,152.31442857142858
Cathy Prescott,35,65,64,253,9536.244,146.71144615384617
Chad Cunningham,63,58,58,216,10382.142,179.00244827586206
Chad McGuire,31,43,42,160,8878.695,206.48127906976742
Chad Sievert,125,48,48,185,9706.644,202.22175000000001
Charles Crestani,11,59,59,180,9129.225,154.73262711864407
Charles McCrossin,2,55,55,176,8849.318,160.8966909090909
Charles Sheldon,162,62,62,246,10224.835,164.9166935483871
Charlotte Melton,31,55,55,212,9875.954,179.56279999999998
Chloris Kastensmidt,69,96,96,327,10734.841,111.82126041666668
Chris Cortes,4,87,87,268,10367.117,119.16226436781609
Chris McAfee,63,44,44,139,5850.776,132.9721818181818
Chris Selesnick,39,81,81,304,14418.0,178.0
Christina Anderson,63,69,69,247,12589.255000000001,182.45297101449276
Christina DeMoss,6,82,81,265,10367.626,126.43446341463415
Christina VanderZanden,4,60,60,185,6961.369,116.02281666666666
Christine Abelman,62,43,43,113,6179.625,143.7122093023256
Christine Kargatis,307,67,67,245,9085.973,135.61153731343285
Christine Phan,63,82,82,278,15654.512,190.90868292682927
Christine Sundaresam,128,66,66,188,9434.113,142.94110606060605
Christopher Conant,96,73,73,287,9695.517,132.81530136986302
Christopher Martinez,246,56,56,198,9466.007,169.03583928571427
Christopher Schild,5,53,52,197,11297.22,213.15509433962262
Christy Brittain,215,49,49,194,9957.984,203.22416326530612
Chuck Clark,155,60,59,229,12643.399,210.72331666666665
Chuck Magee,125,58,58,224,8102.618,139.70031034482759
Chuck Sachs,4,70,70,236,13837.93,197.68471428571428
Cindy Chapman,4,74,74,246,11703.172,158.15097297297297
Cindy Schnelling,72,62,62,197,8648.131,139.48598387096774
Cindy Stewart,32,42,42,153,7223.215,171.98130952380953
Claire Gute,32,52,52,184,11095.57,213.37634615384616
Claudia Bergmann,193,72,72,241,10870.398,150.97775
Clay Cheatham,41,60,60,191,8318.028,138.6338
Clay Ludtke,62,79,79,284,11891.9,150.53037974683545
Clay Rozendal,92,41,41,164,3405.362,83.05760975609756
Clytie Kelty,36,79,78,289,13347.797,168.95945569620253
Corey Catlett,247,61,61,212,9309.303,152.61152459016392
Corey Roper,7,77,77,262,11347.018,147.36387012987012
Corey-Lock,1,68,68,238,13049.0,191.89705882352942
Corinna Mitchell,32,54,54,174,6241.348,115.58051851851852
Craig Carreira,127,67,66,210,9109.39,135.9610447761194
Craig Carroll,5,55,55,210,10415.406,189.3710181818182
Craig Leslie,5,69,69,248,10090.297,146.23618840579712
Craig Molinari,8,54,53,179,8324.908,154.16496296296296
Craig Reiter,92,77,76,224,11647.21,151.26246753246753
Craig Yedwab,7,60,60,200,11856.366,197.6061
Cyma Kinney,37,69,69,211,10596.0,153.56521739130434
Cynthia Arntzen,103,61,61,213,8134.711,133.3559180327869
Cynthia Delaney,35,68,67,228,10432.072,153.41282352941175
Cynthia Voltz,218,54,54,181,8923.939,165.25812962962962
Cyra Reiten,68,54,54,188,8965.698,166.03144444444445
Damala Kotsonis,62,86,86,274,12693.276,147.59623255813952
Dan Campbell,193,77,77,231,10069.373,130.77107792207792
Dan Lawera,7,68,68,270,9817.875,144.38051470588235
Dan Reichenbach,4,84,83,309,16705.0,198.86904761904762
Dana Kaydos,155,70,69,242,12782.862,182.61231428571426
Daniel Byrd,4,65,63,209,11271.125,173.40192307692308
Daniel Lacy,7,72,71,219,5992.215,83.22520833333334
Daniel Raglin,5,85,84,289,10229.72,120.34964705882352
Dario Medina,65,76,76,266,14293.012,188.06594736842106
Darren Budd,246,31,31,98,4500.186,145.16729032258064
Darren Koutras,32,64,64,226,9825.083,153.516921875
Darren Powers,158,82,82,275,12943.04,157.8419512195122
Darrin Martin,7,66,65,268,13183.554,199.75081818181818
Darrin Sayre,164,68,68,252,9707.579,142.75851470588236
Darrin Van Huff,1,94,93,298,12271.488,130.54774468085105
Dave Brooks,186,70,70,255,10023.542,143.19345714285714
Dave Hallsten,34,83,82,270,13010.184,156.7492048192771
Dave Kipp,1,64,64,214,10491.973,163.937078125
Dave Poirier,128,62,62,247,10110.806,163.07751612903226
David Bremer,125,34,34,116,4727.549,139.0455588235294
David Flashing,397,52,52,169,8510.033,163.65448076923076
David Kendrick,100,58,58,206,8435.133,145.4333275862069
David Philippe,165,68,68,260,13087.653,192.46548529411766
David Smith,41,63,63,219,9339.298999999999,148.24284126984125
David Wiener,2,56,55,187,8745.187,156.16405357142858
Dean Braden,62,73,73,250,11103.032,152.09632876712328
Dean Katz,4,56,56,202,9357.296,167.09457142857144
Dean percer,125,81,81,260,11449.395,141.35055555555556
Deanra Eno,1,55,55,179,8482.321,154.22401818181817
Deborah Brumfield,124,58,58,193,9381.2,161.7448275862069
Debra Catini,8,54,54,213,10171.807,188.36679629629631
Deirdre Greer,32,64,64,240,11120.6,173.759375
Delfina Latchford,2,76,75,304,10877.384,143.12347368421052
Denise Leinenbach,34,75,75,281,11593.349,154.57798666666667
Denise Monton,92,59,59,240,9027.037,153.00062711864408
Dennis Bolton,39,52,51,196,8478.134,163.04103846153845
Dennis Kane,1,76,76,287,12201.909,160.5514342105263
Dennis Pardue,165,57,57,170,7129.536,125.07957894736842
Denny Blanton,276,51,51,199,8573.069,168.09939215686273
Denny Joy,32,63,63,232,7448.128,118.22425396825396
Denny Ordway,127,83,83,252,8342.465,100.5116265060241
Dianna Arnett,434,60,58,241,9878.375,164.63958333333332
Dianna Vittorini,7,63,63,218,9448.51,149.9763492063492
Dianna Wilson,67,88,88,312,13909.556,158.06313636363637
Dionis Lloyd,92,56,56,206,10291.363,183.77433928571426
Don Jones,11,78,77,276,11804.6,151.34102564102565
Don Miller,41,52,51,196,8962.876,172.363
Don Weiss,155,62,62,212,10353.035,166.98443548387095
Dorothy Badders,95,49,48,177,10384.0,211.91836734693877
Dorothy Dickinson,4,66,66,234,9969.103,151.04701515151513
Dorothy Wardle,64,74,73,289,11335.272,153.17935135135136
Dorris liebe,34,58,57,162,8910.815,153.63474137931036
Doug Bickford,127,58,58,209,8253.606,142.30355172413792
Doug Jacobs,69,54,54,198,9120.736,168.90251851851852
Doug O'Connell,131,68,67,222,11666.108,171.5604117647059
Duane Benoit,130,42,42,147,6188.423,147.34340476190476
Duane Huffman,31,54,54,177,6642.84,123.01555555555557
Duane Noonan,1,60,60,187,12946.97,215.78283333333331
Ed Braxton,36,65,65,230,11746.782,180.71972307692306
Ed Jacobs,2,45,45,143,7602.1,168.93555555555557
Ed Ludwig,124,71,71,260,11576.635,163.0511971830986
Edward Becker,32,49,49,188,6204.227,126.61687755102041
Edward Hooks,36,84,84,307,12704.576000000001,151.24495238095238
Edward Nazzal,96,46,46,147,5723.35,124.42065217391306
Eileen Kiefer,95,36,35,127,4643.483,128.9856388888889
Eleni McCrary,277,54,54,166,6170.4220000000005,114.26707407407409
Elizabeth Moffitt,69,64,64,194,10401.111,162.517359375
Ellis Ballard,306,57,57,174,10384.613,182.18619298245613
Elpida Rittenbach,65,53,52,187,10620.517,200.38711320754717
Emily Burns,40,35,35,108,4407.632,125.93234285714284
Emily Ducich,216,76,76,259,8360.199,110.00261842105265
Emily Grady,5,63,63,226,11308.817000000001,179.50503174603176
Emily Phan,2,72,71,254,12548.226,174.28091666666668
Eric Barreto,1,48,48,150,6361.611,132.5335625
Eric Hoffmann,10,71,70,229,9162.19,129.04492957746479
Eric Murdock,36,100,98,392,19497.596,194.97596000000001
Erica Bern,1,77,76,250,10193.931,132.3887142857143
Erica Hackney,438,51,51,171,9481.0,185.90196078431373
Erica Hernandez,155,57,57,199,9434.577,165.5188947368421
Erica Smith,5,67,67,220,9890.833,147.62437313432838
Erin Ashbrook,285,72,71,246,9333.19,129.6276388888889
Erin Creighton,34,58,57,177,4939.793,85.1688448275862
Erin Mull,93,62,62,216,8140.188,131.2933548387097
Erin Smith,127,74,74,232,11462.704,154.9014054054054
Eudokia Martin,95,61,61,191,12170.554,199.51727868852458
Eugene Barchas,31,64,64,196,9178.913,143.420515625
Eugene Hildebrand,92,86,86,287,13518.914,157.19667441860466
Eugene Moren,67,94,94,346,15670.748,166.71008510638296
Eva Jacobs,92,49,49,174,10112.849,206.38467346938776
Evan Bailliet,1,47,47,176,8006.0,170.3404255319149
Evan Henry,37,61,61,193,10289.094000000001,168.67367213114755
Evan Minnotte,71,66,66,232,11429.251,173.1704696969697
Filia McAdams,249,69,69,237,9209.086,133.46501449275362
Frank Atkinson,92,62,62,229,11177.176,180.2770322580645
Frank Carlisle,95,51,51,177,7395.02,145.00039215686274
Frank Gastineau,4,44,44,156,7318.388,166.327
Frank Hawley,32,48,48,160,9982.707,207.9730625
Frank Merwin,3,77,77,272,8908.487,115.69463636363635
Frank Olsen,2,85,84,296,13161.618,154.84256470588235
Frank Preis,64,55,55,211,6798.965,123.61754545454546
Fred Chung,4,51,51,156,5133.194,100.65086274509805
Fred Harton,92,42,42,138,7276.493,173.24983333333336
Fred Hopkins,68,82,82,290,12007.415,146.43189024390244
Fred McMath,65,46,46,142,5915.527,128.59841304347827
Fred Wasserman,7,72,70,234,13404.794,186.17769444444446
Gary Hansen,31,76,75,270,10146.128,133.50168421052632
Gary Hwang,1,102,101,377,15183.455,148.8574019607843
Gary McGarr,1,58,58,189,8162.3640000000005,140.73041379310345
Gary Mitchum,35,43,43,148,8943.07,207.97837209302324
Gary Zandusky,8,78,78,255,14712.997,188.62816666666666
Gene Hale,8,50,50,208,7849.646000000001,156.99292000000003
Gene McClure,8,47,47,175,5897.111,125.47044680851063
George Ashbrook,92,58,57,216,9994.815,172.32439655172413
George Bell,10,56,55,185,4985.205,89.02151785714285
George Zrebassa,8,52,52,200,8797.503,169.18275
Georgia Rosenberg,2,62,62,212,9029.825,145.64233870967743
Giulietta Baptist,39,66,65,234,10881.69,164.8740909090909
Giulietta Dortch,251,56,55,218,11675.037,208.48280357142858
Giulietta Weimer,276,57,57,215,9869.21,173.1440350877193
Grace Kelly,65,65,65,236,8852.141,136.1867846153846
Grant Thornton,41,48,48,182,7437.801,154.95418750000002
Greg Guthrie,10,75,75,279,10706.198,142.74930666666668
Greg Hansen,369,65,65,240,12702.296,195.41993846153846
Greg Matthias,251,74,74,235,10188.415,137.68128378378378
Greg Maxwell,4,64,64,203,5042.323,78.786296875
Greg Tran,185,87,86,310,11574.002,133.03450574712645
Guy Armstrong,2,64,64,208,7681.606,120.02509375
Guy Phonely,10,74,74,256,7197.214,97.25964864864865
Guy Thornton,31,62,60,195,7945.117,128.1470483870968
Hallie Redmond,131,61,61,206,7968.719,130.63473770491802
Harold Dahlen,10,81,81,249,10959.12,135.29777777777778
Harold Engle,97,71,70,240,9394.6,132.31830985915494
Harold Pawlan,11,45,45,157,5973.546,132.7454666666667
Harold Ryan,63,44,44,130,7636.4,173.55454545454543
Harry Greene,5,101,101,343,13331.896,131.9989702970297
Harry Marie,4,85,85,313,13904.587,163.58337647058823
Heather Jas,5,68,67,227,8913.528,131.08129411764708
Heather Kirkland,41,60,60,204,13143.4,219.05666666666667
Helen Abelman,34,62,62,234,14507.425,233.9907258064516
Helen Andreada,4,63,63,209,7072.345,112.25944444444445
Helen Wasserman,33,66,66,235,11540.838,174.86118181818182
Henia Zydlo,32,57,57,174,8559.931,150.17422807017545
Henry Goldwyn,103,71,71,271,8968.208,126.31278873239437
Henry MacAllister,9,64,64,222,10581.553,165.336765625
Herbert Flentye,62,77,77,241,11813.0,153.41558441558442
Hilary Holden,155,57,56,242,12636.595,221.694649122807
Hunter Glantz,97,67,67,244,10192.028,152.1198208955224
Hunter Lopez,5,53,52,207,6052.218,114.19279245283019
Ionia McGrath,1,39,39,129,5023.461,128.80669230769232
Irene Maddox,8,82,82,318,13496.429,164.59059756097562
Ivan Gibson,5,77,77,234,11837.318,153.7314025974026
Ivan Liston,35,64,64,221,7093.765,110.840078125
Jack Garza,338,62,62,206,10196.517,164.4599516129032
Jack Lebron,9,83,83,281,11438.242,137.81014457831324
Jack O'Briant,158,51,51,178,9358.993,183.50966666666667
James Galang,95,83,82,272,11140.423999999999,134.22197590361444
James Lanier,39,53,52,174,5518.338,104.11958490566037
Jamie Frazer,37,74,74,275,11324.261,153.03055405405405
Jamie Kunitz,399,50,50,207,7862.675,157.2535
Jane Waco,68,75,75,298,14674.629,195.66172
Janet Lee,191,69,68,253,12926.56,187.34144927536232
Janet Martin,315,67,67,244,11430.593,170.6058656716418
Janet Molinari,3,77,77,302,12327.844,160.10187012987012
Jas O'Carroll,1,44,43,164,7781.039,176.84179545454546
Jason Fortune-,216,73,73,296,12219.608,167.3918904109589
Jason Gross,1,55,55,224,9292.282,168.9505818181818
Jason Klamczynski,42,62,62,236,8020.189,129.3578870967742
Jasper Cacioppo,35,73,73,264,10920.53,149.59630136986303
Jay Fein,225,64,64,215,8675.145,135.549140625
Jay Kimmel,62,67,66,247,13401.0,200.01492537313433
Jenna Caffey,63,75,75,242,10487.679,139.83572
Jennifer Braxton,8,73,73,235,9065.199,124.18080821917809
Jennifer Ferguson,4,66,66,235,7321.641,110.93395454545454
Jennifer Halladay,64,78,77,249,9666.029,123.92344871794873
Jennifer Jackson,1,41,41,152,6566.63,160.16170731707317
Jennifer Patt,3,78,78,277,11193.022,143.50028205128206
Jeremy Ellison,156,43,43,141,5075.744,118.04055813953488
Jeremy Farry,4,57,57,178,8062.662,141.4502105263158
Jeremy Lonsdale,2,48,48,169,6079.2880000000005,126.65183333333334
Jeremy Pistek,65,74,74,266,15315.347,206.96414864864863
Jessica Myrick,40,51,51,168,7789.0,152.72549019607843
Jesus Ocampo,34,53,53,175,6691.519,126.25507547169812
Jill Fjeld,65,78,77,274,14051.579,180.14844871794872
Jill Matthias,2,58,58,198,8671.515,149.5088793103448
Jill Stevenson,5,49,49,156,6094.052,124.3684081632653
Jim Epp,37,64,64,199,8796.161,137.440015625
Jim Karlsson,307,69,69,250,13087.038,189.66721739130435
Jim Kriz,36,43,43,157,6058.02,140.88418604651164
Jim Mitchum,190,84,84,275,13757.148,163.77557142857142
Jim Radford,8,48,48,143,8511.421,177.32127083333333
Jim Sink,35,69,68,255,11312.973,163.9561304347826
Jocasta Rupert,367,36,36,129,7154.092,198.72477777777777
Joe Elijah,2,82,81,319,11122.341,135.63830487804879
Joe Kamberova,42,91,91,330,14315.386,157.31193406593408
Joel Eaton,42,87,86,276,12833.081,147.50667816091953
Joel Jenkins,2,83,83,264,11939.062,143.84412048192772
John Castell,37,53,53,178,8645.656,163.1255849056604
John Dryer,163,48,48,173,8028.566,167.26179166666665
John Grady,7,95,95,370,19485.736,205.1130105263158
John Huston,4,83,83,289,12128.832,146.13050602409638
John Lee,34,72,71,295,10379.615,144.16131944444444
John Lucas,218,50,50,169,9384.12,187.68240000000003
John Murray,309,79,79,292,12546.849,158.82087341772151
John Stevenson,127,42,42,169,8122.071,193.38264285714286
Jonathan Doherty,33,86,86,325,12961.526,150.71541860465115
Jonathan Howell,37,81,81,270,10777.772,133.05891358024692
Joni Blumstein,71,59,59,205,8722.621,147.84103389830508
Joni Sundaresam,123,53,53,145,6809.0,128.47169811320754
Joni Wasserman,5,60,59,226,7950.002,132.50003333333333
Joseph Airdo,98,76,76,254,8747.431,115.09777631578947
Joseph Holt,93,85,85,317,13102.844,154.15110588235294
Joy Bell-,65,84,84,325,15284.735,181.96113095238096
Joy Daniels,6,67,67,221,7023.327,104.82577611940299
Joy Smith,62,70,70,258,10263.54,146.622
Julia Barnett,2,57,57,199,8633.462,151.4642456140351
Julia Dunbar,37,48,48,142,8598.632,179.13816666666665
Julia West,100,61,61,224,10179.429,166.87588524590163
Juliana Krohn,2,83,83,287,12654.492,152.46375903614458
Julie Creighton,6,63,63,228,10753.247,170.6864603174603
Julie Kriz,4,65,65,216,11081.571,170.4857076923077
Julie Prescott,186,76,72,241,11310.287,148.8195657894737
Justin Deggeller,7,71,71,248,13412.216,188.90445070422535
Justin Ellison,9,53,53,178,7492.423,141.3664716981132
Justin Hirsh,32,81,81,283,14813.114,182.87795061728394
Justin MacKendrick,7,53,53,170,7964.064,150.26535849056603
Justin Ritter,158,57,57,184,9919.709,174.02998245614037
Kalyca Meade,62,43,43,172,6602.043,153.53588372093023
Karen Bern,6,55,55,174,7620.23,138.54963636363635
Karen Carlisle,4,63,62,198,9097.32,144.40190476190475
Karen Daniels,64,64,64,246,12553.476,196.1480625
Karen Ferguson,4,62,62,209,9470.805,152.7549193548387
Karen Seio,40,43,43,147,4005.321,93.14699999999999
Karl Braun,71,93,90,291,12911.587,138.8342688172043
Katharine Harms,1,74,74,221,14915.502,201.56083783783785
Katherine Ducich,221,39,39,141,9212.486,236.21758974358977
Katherine Hughes,32,75,74,225,9967.245,132.8966
Katherine Murray,4,81,81,254,12765.762,157.602
Katherine Nockton,1,59,58,209,7126.555,120.78906779661017
Katrina Bavinger,1,68,67,247,9224.807,135.65892647058826
Katrina Edelman,187,67,67,257,9118.439,136.09610447761193
Katrina Willman,7,58,58,193,8461.293,145.88436206896552
Kean Nguyen,93,66,66,240,12776.293,193.58019696969697
Kean Takahito,399,82,81,312,12368.893,150.84015853658536
Kean Thornton,125,45,45,123,6563.8,145.86222222222221
Keith Dawkins,65,78,78,253,13079.385,167.68442307692308
Keith Herrera,92,79,79,281,8857.041,112.11444303797468
Kelly Andreada,216,86,85,301,12732.15,148.0482558139535
Kelly Collister,37,55,55,196,9068.343,164.87896363636364
Kelly Lampkin,8,86,85,279,10694.557,124.35531395348838
Kelly Williams,34,71,71,234,7641.196,107.62247887323943
Ken Black,72,66,66,266,7677.933,116.33231818181818
Ken Brennan,62,56,55,178,8194.274,146.32632142857142
Ken Dana,193,56,56,224,7939.618,141.77889285714286
Ken Heidel,4,57,57,204,6591.432,115.63915789473684
Ken Lonsdale,70,82,81,269,12920.218,157.56363414634149
Khloe Miller,11,61,61,216,7468.508,122.43455737704917
Kimberly Carter,1,53,53,212,9509.418,179.42298113207548
Kristen Hastings,69,88,88,309,13948.913,158.510375
Kristina Nunn,7,46,46,148,6212.507,135.0545
Kunst Miller,126,69,69,251,12051.921,174.66552173913044
Larry Blacks,69,63,63,221,11097.489,176.15061904761905
Larry Hughes,245,50,50,179,4832.864,96.65727999999999
Larry Tron,94,56,56,189,11369.257,203.0224464285714
Laura Armstrong,40,86,84,323,14844.033,172.60503488372092
Laurel Beltran,69,88,87,316,13564.835,154.14585227272727
Laurel Elliston,10,61,60,199,11477.0,188.14754098360655
Laurel Workman,34,63,63,181,7390.486,117.30930158730159
Lauren Leatherbury,155,66,66,220,12142.798999999999,183.981803030303
Lela Donovan,3,71,70,260,11462.723,161.4468028169014
Lena Cacioppo,123,66,65,241,8063.018,122.1669393939394
Lena Creighton,11,69,69,248,13128.766,190.27197101449275
Lena Hernandez,62,55,55,229,9840.104,178.9109818181818
Lena Radford,215,65,65,224,9162.754,140.96544615384616
Linda Cazamias,2,67,67,211,10332.412,154.21510447761193
Linda Southworth,64,63,63,201,11562.584,183.53307936507937
Lindsay Castell,279,50,50,179,7841.466,156.82932
Lindsay Shagiari,31,59,59,192,8318.049,140.98388135593223
Lindsay Williams,71,58,58,179,7262.723,125.21936206896552
Lisa DeCherney,2,58,58,181,10429.396,179.81717241379312
Lisa Hazard,191,43,43,182,6476.6900000000005,150.6206976744186
Lisa Ryan,5,78,78,243,13402.402,171.82566666666668
Liz Carlisle,65,58,57,214,7633.505999999999,131.6121724137931
Liz MacKendrick,125,50,49,205,7606.932,152.13864
Liz Pelletier,8,54,54,197,7216.251,133.63427777777778
Liz Preis,1,71,70,239,13154.46,185.27408450704223
Liz Thompson,72,74,74,288,12682.543,171.38571621621622
Liz Willingham,7,41,41,126,8045.0,196.21951219512195
